airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,1/06/2019,Delhi,Cochin,19:00,19:15:00,1455.0,1.0,No info,8792
Jet Airways,12/06/2019,Kolkata,Banglore,18:55,12:00:00,1025.0,1.0,No info,13044
Indigo,03/03/2019,Banglore,New Delhi,14:25,19:25:00,300.0,1.0,No info,11873
Spicejet,12/06/2019,Kolkata,Banglore,08:35,17:15:00,520.0,1.0,No info,7189
Jet Airways,6/05/2019,Banglore,Delhi,15:15,18:10:00,175.0,0.0,In-flight meal not included,3702
Air India,15/03/2019,Banglore,New Delhi,10:30,21:25:00,655.0,2.0,No info,6593
Air India,6/04/2019,Delhi,Cochin,17:40,23:00:00,320.0,1.0,No info,5232
Indigo,3/03/2019,Kolkata,Banglore,22:10,00:55:00,165.0,0.0,No info,5618
Air India,12/06/2019,Delhi,Cochin,13:00,19:15:00,375.0,1.0,No info,8372
Air Asia,6/04/2019,Kolkata,Banglore,10:20,12:55:00,155.0,0.0,No info,3807
Indigo,24/05/2019,Delhi,Cochin,18:35,01:30:00,415.0,1.0,No info,7503
Jet Airways,06/03/2019,Banglore,New Delhi,16:55,05:05:00,730.0,1.0,No info,16736
Air India,18/05/2019,Kolkata,Banglore,09:25,01:20:00,955.0,2.0,No info,11668
Air Asia,24/05/2019,Kolkata,Banglore,07:35,19:25:00,710.0,1.0,No info,5192
Jet Airways,21/05/2019,Delhi,Cochin,17:30,04:25:00,655.0,1.0,In-flight meal not included,12898
Spicejet,3/04/2019,Mumbai,Hyderabad,13:15,14:45:00,90.0,0.0,No info,2017
Multiple Carriers,27/03/2019,Delhi,Cochin,04:00,15:30:00,690.0,1.0,No info,6305
Air India,1/06/2019,Banglore,Delhi,17:00,19:45:00,165.0,0.0,No info,7171
Vistara,1/05/2019,Kolkata,Banglore,20:20,09:05:00,765.0,1.0,No info,8452
Jet Airways,27/05/2019,Banglore,Delhi,18:55,22:00:00,185.0,0.0,In-flight meal not included,3359
Multiple Carriers,3/06/2019,Delhi,Cochin,07:05,19:15:00,730.0,1.0,No info,15058
Air India,18/05/2019,Kolkata,Banglore,14:15,16:45:00,150.0,0.0,No info,6245
Jet Airways,6/03/2019,Delhi,Cochin,05:40,04:25:00,1365.0,2.0,In-flight meal not included,17271
Indigo,21/05/2019,Chennai,Kolkata,19:35,21:55:00,140.0,0.0,No info,3597
Jet Airways,24/03/2019,Banglore,New Delhi,05:45,10:25:00,280.0,1.0,In-flight meal not included,8147
Multiple Carriers,3/03/2019,Delhi,Cochin,07:05,13:20:00,375.0,1.0,No info,17057
Indigo,27/06/2019,Kolkata,Banglore,20:25,23:10:00,165.0,0.0,No info,4804
Jet Airways,21/03/2019,Banglore,New Delhi,22:50,11:25:00,755.0,1.0,In-flight meal not included,7832
Air India,09/03/2019,Banglore,New Delhi,17:00,16:40:00,1420.0,1.0,No info,9292
Indigo,15/05/2019,Banglore,Delhi,21:15,00:15:00,180.0,0.0,No info,3943
Multiple Carriers,27/05/2019,Delhi,Cochin,08:30,19:15:00,645.0,1.0,No info,9149
Spicejet,6/05/2019,Chennai,Kolkata,17:45,20:05:00,140.0,0.0,No info,3597
Vistara,15/05/2019,Kolkata,Banglore,20:20,09:05:00,765.0,1.0,No info,8452
Air India,12/06/2019,Kolkata,Banglore,12:00,07:55:00,1195.0,2.0,No info,9416
Indigo,18/06/2019,Kolkata,Banglore,22:15,00:50:00,155.0,0.0,No info,4804
Jet Airways,06/03/2019,Banglore,New Delhi,20:35,09:30:00,775.0,1.0,No info,17261
Spicejet,24/06/2019,Chennai,Kolkata,09:45,12:00:00,135.0,0.0,No check-in baggage included,3859
Air India,27/03/2019,Delhi,Cochin,13:05,07:40:00,1115.0,2.0,No info,8875
Spicejet,3/05/2019,Chennai,Kolkata,17:45,20:05:00,140.0,0.0,No check-in baggage included,3543
Indigo,24/04/2019,Kolkata,Banglore,15:15,17:45:00,150.0,0.0,No info,4804
Indigo,15/05/2019,Banglore,Delhi,01:30,04:15:00,165.0,0.0,No info,3419
Indigo,1/06/2019,Delhi,Cochin,14:25,17:40:00,195.0,0.0,No info,6015
Multiple Carriers,6/03/2019,Delhi,Cochin,07:05,13:20:00,375.0,1.0,No info,17267
Goair,6/06/2019,Kolkata,Banglore,23:30,07:45:00,495.0,1.0,No info,6686
Multiple Carriers,6/06/2019,Delhi,Cochin,11:40,19:15:00,455.0,1.0,No info,8266
Goair,6/05/2019,Banglore,Delhi,20:55,23:40:00,165.0,0.0,No info,3419
Multiple Carriers,12/06/2019,Delhi,Cochin,08:30,19:00:00,630.0,1.0,No info,10877
Jet Airways,6/06/2019,Kolkata,Banglore,21:10,08:15:00,665.0,1.0,In-flight meal not included,10844
Jet Airways,21/05/2019,Kolkata,Banglore,20:00,04:40:00,520.0,1.0,In-flight meal not included,10844
Spicejet,24/03/2019,Chennai,Kolkata,08:20,10:35:00,135.0,0.0,No check-in baggage included,3807
Indigo,9/03/2019,Kolkata,Banglore,20:25,23:05:00,160.0,0.0,No info,4148
Indigo,18/06/2019,Kolkata,Banglore,20:25,23:10:00,165.0,0.0,No info,4804
Air India,12/05/2019,Kolkata,Banglore,05:50,20:25:00,875.0,2.0,No info,12513
Indigo,6/03/2019,Delhi,Cochin,06:40,21:20:00,880.0,2.0,No info,6610
Indigo,12/04/2019,Banglore,Delhi,06:05,08:50:00,165.0,0.0,No info,4990
Indigo,15/06/2019,Mumbai,Hyderabad,16:55,18:25:00,90.0,0.0,No info,3175
Multiple Carriers,27/05/2019,Delhi,Cochin,06:00,12:35:00,395.0,1.0,No info,11264
Air India,18/05/2019,Delhi,Cochin,06:05,09:25:00,1640.0,1.0,No info,7480
