airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,21/03/2019,Banglore,New Delhi,08:55:00,19:10:00,615,1.0,In-flight meal not included,7832
Jet Airways,27/03/2019,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,6540
Goair,09/03/2019,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No info,7305
Air India,12/06/2019,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8366
Jet Airways,12/03/2019,Banglore,New Delhi,22:55:00,07:40:00,525,1.0,In-flight meal not included,11087
Jet Airways,21/04/2019,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Jet Airways,1/04/2019,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,7064
Spicejet,15/06/2019,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Multiple Carriers,9/06/2019,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No info,12192
Jet Airways,9/05/2019,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,15129
Jet Airways,12/06/2019,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No info,13044
Jet Airways,6/05/2019,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Jet Airways,24/06/2019,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No info,13292
Multiple Carriers,15/05/2019,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,13727
Jet Airways,6/06/2019,Kolkata,Banglore,18:55:00,22:35:00,1660,1.0,In-flight meal not included,10844
Indigo,27/03/2019,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,6416
Air India,24/03/2019,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No info,7486
Jet Airways,21/03/2019,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No info,12767
Multiple Carriers,15/06/2019,Delhi,Cochin,10:20:00,19:00:00,520,1.0,No info,11789
Multiple Carriers,21/03/2019,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,5999
Indigo,09/03/2019,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No info,5694
Jet Airways,1/06/2019,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No info,14237
Goair,24/05/2019,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,3419
Spicejet,18/06/2019,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No info,2017
Multiple Carriers,21/05/2019,Delhi,Cochin,14:55:00,00:55:00,600,1.0,No info,6878
Vistara,15/04/2019,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,5403
Jet Airways,1/04/2019,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,12681
Air India,27/05/2019,Delhi,Cochin,20:00:00,19:15:00,1395,1.0,No info,8372
Air India,01/03/2019,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No info,25703
Multiple Carriers,15/06/2019,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No info,16108
Jet Airways,15/06/2019,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Jet Airways,1/06/2019,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No info,5678
Vistara,15/05/2019,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No info,8452
Air India,01/03/2019,Banglore,New Delhi,05:50:00,12:15:00,1825,3.0,No info,12346
Multiple Carriers,12/06/2019,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No info,7155
Indigo,1/05/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4804
Multiple Carriers,6/03/2019,Delhi,Cochin,04:45:00,18:50:00,845,1.0,No info,13875
Spicejet,1/05/2019,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,4423
Jet Airways,9/03/2019,Delhi,Cochin,19:15:00,18:50:00,1415,1.0,No info,16289
Indigo,03/03/2019,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No info,8855
Jet Airways,27/06/2019,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Multiple Carriers,27/03/2019,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,6883
Vistara,18/03/2019,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No info,11598
Jet Airways,12/06/2019,Delhi,Cochin,20:00:00,19:00:00,1380,2.0,No info,14300
Vistara,24/06/2019,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,11982
Jet Airways,9/03/2019,Delhi,Cochin,08:20:00,04:25:00,1205,2.0,No info,18909
Jet Airways,18/05/2019,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,No info,14781
Jet Airways,24/04/2019,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4544
Jet Airways,21/05/2019,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,10844
Indigo,9/04/2019,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No info,3943
Jet Airways,12/06/2019,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5769
Jet Airways,21/03/2019,Delhi,Cochin,19:15:00,18:50:00,1415,2.0,In-flight meal not included,8938
Indigo,21/03/2019,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No info,6144
Jet Airways,24/03/2019,Kolkata,Banglore,06:30:00,19:40:00,790,1.0,No info,13339
Indigo,15/03/2019,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No info,5406
Air India,18/05/2019,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No info,8879
Jet Airways,6/03/2019,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,No info,15764
Indigo,3/06/2019,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4823
Jet Airways,12/03/2019,Banglore,New Delhi,18:55:00,10:25:00,930,1.0,In-flight meal not included,11087
Jet Airways,09/03/2019,Banglore,New Delhi,08:00:00,10:25:00,1585,1.0,In-flight meal not included,11087
Multiple Carriers,6/06/2019,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,12524
Air India,12/06/2019,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,8372
Goair,1/05/2019,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No info,5842
Jet Airways,18/05/2019,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,15554
Jet Airways,9/05/2019,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,8586
Indigo,15/03/2019,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No info,6297
Multiple Carriers,21/05/2019,Delhi,Cochin,07:10:00,18:10:00,660,1.0,No info,7038
Indigo,15/05/2019,Delhi,Cochin,08:35:00,16:10:00,455,1.0,No info,6442
Jet Airways,9/05/2019,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,7757
Air Asia,3/05/2019,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,4483
Multiple Carriers,15/05/2019,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No info,13727
Indigo,18/05/2019,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No info,7580
Air India,15/05/2019,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No info,7480
Air India,24/04/2019,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4145
