airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,24/06/2019,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5054
Multiple Carriers,12/06/2019,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No info,9646
Jet Airways,12/03/2019,Banglore,New Delhi,22:55:00,15:15:00,980,1.0,In-flight meal not included,11087
Multiple Carriers,6/06/2019,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,13587
Jet Airways,18/05/2019,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,16704
Indigo,09/03/2019,Banglore,New Delhi,13:10:00,16:10:00,180,0.0,No info,8033
Jet Airways,6/05/2019,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,In-flight meal not included,9314
Multiple Carriers,9/05/2019,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No info,14323
Jet Airways,15/05/2019,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No info,11467
Indigo,6/04/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4174
Jet Airways,12/05/2019,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No info,14388
Air India,15/05/2019,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,6094
Jet Airways,1/06/2019,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Multiple Carriers,3/03/2019,Delhi,Cochin,18:15:00,01:35:00,440,1.0,No info,18916
Jet Airways,3/06/2019,Delhi,Cochin,18:25:00,12:35:00,1090,2.0,No info,14237
Air India,9/04/2019,Banglore,Delhi,17:00:00,19:50:00,170,0.0,No info,5911
Air India,24/03/2019,Kolkata,Banglore,09:10:00,07:55:00,1365,2.0,No info,15187
Multiple Carriers,21/05/2019,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,14067
Goair,1/06/2019,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No info,10651
Indigo,15/05/2019,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No info,4823
Jet Airways,12/06/2019,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Air India,6/03/2019,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,12677
Multiple Carriers,27/06/2019,Delhi,Cochin,06:00:00,21:00:00,900,1.0,In-flight meal not included,6007
Multiple Carriers,6/06/2019,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No info,7038
Multiple Carriers,9/06/2019,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,9646
Indigo,9/03/2019,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No info,4462
Goair,1/04/2019,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No info,5171
Air India,1/05/2019,Kolkata,Banglore,10:00:00,20:25:00,625,1.0,No info,10203
Multiple Carriers,6/06/2019,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No info,10678
Air India,27/03/2019,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No info,10493
Indigo,3/04/2019,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4823
Spicejet,15/03/2019,Banglore,New Delhi,10:20:00,18:15:00,475,1.0,No info,10341
Air India,12/06/2019,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No info,5510
Multiple Carriers,6/06/2019,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,12192
Multiple Carriers,27/05/2019,Delhi,Cochin,08:00:00,21:00:00,780,1.0,In-flight meal not included,9450
Jet Airways,12/05/2019,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,9663
Air India,3/06/2019,Delhi,Cochin,07:10:00,07:40:00,1470,2.0,No info,12698
Jet Airways,15/06/2019,Delhi,Cochin,18:20:00,12:35:00,1095,2.0,No info,14300
Air India,12/06/2019,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No info,7480
Indigo,3/03/2019,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No info,8258
Jet Airways,1/06/2019,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Air India,21/05/2019,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No info,6094
Air India,15/06/2019,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,8839
Air India,12/06/2019,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,3100
Spicejet,18/06/2019,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,3/06/2019,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,12402
Indigo,3/03/2019,Delhi,Cochin,05:35:00,10:10:00,275,1.0,No info,13753
Jet Airways,27/06/2019,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,7229
Jet Airways,9/06/2019,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,7229
Indigo,12/05/2019,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Spicejet,27/03/2019,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No check-in baggage included,3332
Indigo,6/04/2019,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No info,5073
Vistara,9/03/2019,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No info,6741
Jet Airways,3/06/2019,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Indigo,27/05/2019,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No info,5054
Spicejet,12/06/2019,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,9/04/2019,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No info,9483
